group_rank,member_rank,symbol,name,primary_group,secondary_concepts,industry,theme_exposure_grade,fundamental_quality_grade,growth_grade,profitability_grade,cashflow_balance_grade,valuation_grade,risk_flag_grade,risk_flags,liquidity_capacity_grade,pe_ttm,pb,market_cap_wan,turnover_ratio_pct,fundamental_source,independent_signal_family_count,formal_stock_rank,context_rank,lane,shortlist_eligible,same_day_return_pct_diagnostic,amount_yi,member_sort_tuple,final_member_reason,evidence_ids,business_group_raw,market_theme_id,mapping_source_rank,mapping_status
1,11,301157,华塑科技,软件/数字内容/计算机应用,,软件开发,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,98.74,2.78,306100.0,6.64,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,65,265,technical-reversal-only,False,8.093220338983054,0.705785,6|2|6|6|6|2|3|3|-1|65|301157,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,12,688522,纳睿雷达,软件/数字内容/计算机应用,,软件开发,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,70.72,3.48,807800.0,2.88,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,184,442,technical-reversal-only,False,2.972972972972987,0.946311,6|2|6|6|6|2|3|3|-1|184|688522,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,软件开发,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,13,003007,直真科技,软件/数字内容/计算机应用,,垂直应用软件,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,171.34,2.65,403200.0,3.57,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,280,190,technical-reversal-only,False,6.037735849056602,0.873353,6|2|6|6|6|2|3|3|-1|280|003007,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,垂直应用软件,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,14,300550,和仁科技,软件/数字内容/计算机应用,,垂直应用软件,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,65.88,2.46,278800.0,2.75,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,319,231,technical-reversal-only,False,7.164480322906153,0.755485,6|2|6|6|6|2|3|3|-1|319|300550,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,垂直应用软件,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,15,301380,挖金客,软件/数字内容/计算机应用,,IT服务,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,neutral,watch,长期趋势未修复;CLX独立性不足,watch,83.43,4.23,311000.0,5.66,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,379,285,technical-reversal-only,False,5.0342465753424825,1.386274,6|2|6|6|6|2|3|3|-1|379|301380,暴露=evidence_gap；基本面=neutral；估值=neutral；容量=watch；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,16,688318,财富趋势,软件/数字内容/计算机应用,,垂直应用软件,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,watch,watch,长期趋势未修复;CLX独立性不足,neutral,87.69,7.05,2660899.9999999995,3.33,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,87,432,technical-reversal-only,False,9.518890200708372,8.791405,6|2|6|6|6|3|3|2|-1|87|688318,暴露=evidence_gap；基本面=neutral；估值=watch；容量=neutral；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,垂直应用软件,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,17,301269,华大九天,软件/数字内容/计算机应用,,垂直应用软件,evidence_gap,neutral,evidence_gap,evidence_gap,evidence_gap,watch,watch,长期趋势未修复;CLX独立性不足,neutral,794.545,9.204,4788424.42352,1.63564,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,369,277,technical-reversal-only,False,2.2341794361913747,8.019402,6|2|6|6|6|3|3|2|-1|369|301269,暴露=evidence_gap；基本面=neutral；估值=watch；容量=neutral；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,垂直应用软件,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,18,688258,卓易信息,软件/数字内容/计算机应用,,IT服务,evidence_gap,watch,evidence_gap,evidence_gap,evidence_gap,watch,neutral,CLX独立性不足,neutral,102.14,13.0,1229800.0,6.57,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,558,80,unclassified,False,16.435371028787692,7.990039,6|3|6|6|6|3|2|2|-1|558|688258,暴露=evidence_gap；基本面=watch；估值=watch；容量=neutral；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
1,19,688802,沐曦股份,软件/数字内容/计算机应用,,半导体,evidence_gap,watch,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;CLX独立性不足,good,-282.324,21.042,27561688.7,7.97498,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,1,594,98,unclassified,False,2.5104166666666705,10.540775,6|3|6|6|6|4|3|1|-1|594|688802,暴露=evidence_gap；基本面=watch；估值=weak；容量=good；映射来源=ths_business_keyword,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,半导体,TH-SOFTWARE,ths_business_keyword,resolved_theme_unmatched
1,20,300846,首都在线,软件/数字内容/计算机应用,,IT服务,evidence_gap,weak,evidence_gap,evidence_gap,evidence_gap,weak,watch,亏损PE;长期趋势未修复,good,-56.3,12.577,962158.924728,13.55447,Sina/Tencent 2026-07-31 valuation snapshot; growth/profit/cashflow not expanded,2,95,102,technical-reversal-only,False,10.994764397905744,10.653951,6|4|6|6|6|4|3|1|-2|95|300846,暴露=evidence_gap；基本面=weak；估值=weak；容量=good；映射来源=cninfo_industry,CLX-STOCK-RANKING;LOCAL-SINA-BOARD-20260731;TENCENT-VALUATION-20260731,IT服务,TH-SOFTWARE,cninfo_industry,resolved_theme_unmatched
