scope,model_code,trigger,market_regime,horizon_trading_days,purged_boundary_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
HOLDOUT,S0006,STRONG_FRACTAL,UP,90,0,208,44,0.211538,0.161526,0.272013,-0.127883,-0.189824
HOLDOUT,S0006,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0006,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0006,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0006,STRONG_FRACTAL,SIDEWAYS,30,0,1694,461,0.272137,0.251476,0.293829,-0.058662,-0.106823
HOLDOUT,S0006,STRONG_FRACTAL,SIDEWAYS,60,0,749,269,0.359146,0.325587,0.394142,0.050495,-0.071031
HOLDOUT,S0006,STRONG_FRACTAL,SIDEWAYS,90,0,349,103,0.295129,0.249717,0.345002,-0.011149,-0.15898
HOLDOUT,S0007,ENGULFING,UP,30,0,265,99,0.373585,0.317537,0.433246,-0.02404,-0.041444
HOLDOUT,S0007,ENGULFING,UP,60,0,265,81,0.30566,0.253299,0.363576,-0.039163,-0.084049
HOLDOUT,S0007,ENGULFING,UP,90,0,232,46,0.198276,0.152069,0.254312,-0.092951,-0.190639
HOLDOUT,S0007,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0007,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0007,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0007,ENGULFING,SIDEWAYS,30,0,630,233,0.369841,0.333039,0.408221,-0.006452,-0.057918
HOLDOUT,S0007,ENGULFING,SIDEWAYS,60,0,466,169,0.362661,0.320297,0.40727,-0.004105,-0.087939
HOLDOUT,S0007,ENGULFING,SIDEWAYS,90,0,240,76,0.316667,0.261097,0.378013,-0.015371,-0.138239
HOLDOUT,S0007,STRONG_FRACTAL,UP,30,0,573,221,0.385689,0.346721,0.42618,-0.001752,-0.028229
HOLDOUT,S0007,STRONG_FRACTAL,UP,60,0,573,188,0.328098,0.29091,0.367575,-0.018636,-0.088353
HOLDOUT,S0007,STRONG_FRACTAL,UP,90,0,473,145,0.306554,0.2667,0.349525,-0.052564,-0.170484
HOLDOUT,S0007,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0007,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0007,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0007,STRONG_FRACTAL,SIDEWAYS,30,0,1749,589,0.336764,0.314994,0.359249,-0.023053,-0.070576
HOLDOUT,S0007,STRONG_FRACTAL,SIDEWAYS,60,0,1191,448,0.376154,0.349083,0.404023,-0.003616,-0.083857
HOLDOUT,S0007,STRONG_FRACTAL,SIDEWAYS,90,0,674,244,0.362018,0.326613,0.398987,0.034534,-0.124127
HOLDOUT,S0008,ENGULFING,UP,30,0,31,10,0.322581,0.185694,0.49859,0.0013,-0.042388
HOLDOUT,S0008,ENGULFING,UP,60,0,31,13,0.419355,0.264155,0.592337,-0.007303,-0.081701
HOLDOUT,S0008,ENGULFING,UP,90,0,17,4,0.235294,0.09555,0.472618,-0.06006,-0.151837
HOLDOUT,S0008,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0008,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0008,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0008,ENGULFING,SIDEWAYS,30,0,164,61,0.371951,0.301703,0.448061,-0.02273,-0.052914
HOLDOUT,S0008,ENGULFING,SIDEWAYS,60,0,79,34,0.43038,0.326938,0.540278,0.153135,-0.034327
HOLDOUT,S0008,ENGULFING,SIDEWAYS,90,0,28,9,0.321429,0.179332,0.506612,-0.044527,-0.179623
HOLDOUT,S0008,STRONG_FRACTAL,UP,30,0,77,28,0.363636,0.265054,0.475178,-0.011474,-0.042287
HOLDOUT,S0008,STRONG_FRACTAL,UP,60,0,76,27,0.355263,0.257018,0.467436,-0.016549,-0.092627
HOLDOUT,S0008,STRONG_FRACTAL,UP,90,0,58,22,0.37931,0.265643,0.507972,-0.087208,-0.169792
HOLDOUT,S0008,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0008,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0008,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0008,STRONG_FRACTAL,SIDEWAYS,30,0,696,206,0.295977,0.263259,0.330935,-0.040739,-0.087747
HOLDOUT,S0008,STRONG_FRACTAL,SIDEWAYS,60,0,345,134,0.388406,0.338474,0.440795,0.027762,-0.076464
HOLDOUT,S0008,STRONG_FRACTAL,SIDEWAYS,90,0,181,50,0.276243,0.216266,0.345521,-0.023384,-0.180898
HOLDOUT,S0009,ENGULFING,UP,30,0,106,50,0.471698,0.379328,0.566048,0.026263,-0.006816
HOLDOUT,S0009,ENGULFING,UP,60,0,106,45,0.424528,0.334696,0.519639,0.078068,-0.069524
HOLDOUT,S0009,ENGULFING,UP,90,0,73,20,0.273973,0.184914,0.38563,-0.021025,-0.164755
HOLDOUT,S0009,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0009,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0009,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0009,ENGULFING,SIDEWAYS,30,0,344,106,0.30814,0.26169,0.358827,-0.041019,-0.09333
HOLDOUT,S0009,ENGULFING,SIDEWAYS,60,0,197,70,0.35533,0.291847,0.424347,0.018305,-0.101324
HOLDOUT,S0009,ENGULFING,SIDEWAYS,90,0,96,30,0.3125,0.22851,0.410919,-0.020565,-0.121608
HOLDOUT,S0009,STRONG_FRACTAL,UP,30,0,172,58,0.337209,0.2708,0.410732,-0.026431,-0.052343
HOLDOUT,S0009,STRONG_FRACTAL,UP,60,0,172,44,0.255814,0.196439,0.325858,-0.053924,-0.130643
HOLDOUT,S0009,STRONG_FRACTAL,UP,90,0,87,21,0.241379,0.163642,0.34099,-0.103455,-0.2092
HOLDOUT,S0009,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0009,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0009,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0009,STRONG_FRACTAL,SIDEWAYS,30,0,649,183,0.281972,0.248716,0.317795,-0.049489,-0.086993
HOLDOUT,S0009,STRONG_FRACTAL,SIDEWAYS,60,0,374,130,0.347594,0.301102,0.397184,0.034074,-0.09542
HOLDOUT,S0009,STRONG_FRACTAL,SIDEWAYS,90,0,213,67,0.314554,0.255949,0.37973,-0.020358,-0.157948
HOLDOUT,S0010,ENGULFING,UP,30,0,1215,432,0.355556,0.329134,0.382888,-0.012091,-0.041276
HOLDOUT,S0010,ENGULFING,UP,60,0,1214,376,0.30972,0.284345,0.336296,-0.029357,-0.090837
HOLDOUT,S0010,ENGULFING,UP,90,0,1074,241,0.224395,0.200452,0.250302,-0.075737,-0.187129
HOLDOUT,S0010,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0010,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0010,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0010,ENGULFING,SIDEWAYS,30,0,2788,994,0.356528,0.338957,0.374493,-0.019342,-0.062272
HOLDOUT,S0010,ENGULFING,SIDEWAYS,60,0,1922,621,0.323101,0.302564,0.344343,-0.01798,-0.102591
HOLDOUT,S0010,ENGULFING,SIDEWAYS,90,0,870,262,0.301149,0.271594,0.332453,-0.021785,-0.15772
HOLDOUT,S0010,STRONG_FRACTAL,UP,30,0,2230,776,0.347982,0.328489,0.367998,-0.012369,-0.045492
HOLDOUT,S0010,STRONG_FRACTAL,UP,60,0,2228,706,0.316876,0.297886,0.336496,-0.024258,-0.100783
HOLDOUT,S0010,STRONG_FRACTAL,UP,90,0,1859,513,0.275955,0.256113,0.29672,-0.0694,-0.188661
HOLDOUT,S0010,STRONG_FRACTAL,DOWN,30,0,0,0,,,,,
HOLDOUT,S0010,STRONG_FRACTAL,DOWN,60,0,0,0,,,,,
HOLDOUT,S0010,STRONG_FRACTAL,DOWN,90,0,0,0,,,,,
HOLDOUT,S0010,STRONG_FRACTAL,SIDEWAYS,30,0,7088,2465,0.347771,0.336769,0.358938,-0.018894,-0.064633
HOLDOUT,S0010,STRONG_FRACTAL,SIDEWAYS,60,0,4637,1602,0.345482,0.331928,0.359292,-0.002392,-0.08569
HOLDOUT,S0010,STRONG_FRACTAL,SIDEWAYS,90,0,2335,798,0.341756,0.322792,0.36124,0.025315,-0.129203
HOLDOUT,S0011,ENGULFING,UP,30,0,156,67,0.429487,0.354425,0.507939,0.022055,-0.024972
HOLDOUT,S0011,ENGULFING,UP,60,0,156,62,0.397436,0.323996,0.475805,0.034706,-0.07644
HOLDOUT,S0011,ENGULFING,UP,90,0,117,21,0.179487,0.120499,0.258853,-0.11588,-0.216741
HOLDOUT,S0011,ENGULFING,DOWN,30,0,0,0,,,,,
HOLDOUT,S0011,ENGULFING,DOWN,60,0,0,0,,,,,
HOLDOUT,S0011,ENGULFING,DOWN,90,0,0,0,,,,,
HOLDOUT,S0011,ENGULFING,SIDEWAYS,30,0,572,167,0.291958,0.256185,0.330507,-0.053945,-0.091485
HOLDOUT,S0011,ENGULFING,SIDEWAYS,60,0,303,99,0.326733,0.276379,0.381425,-0.002477,-0.085976
HOLDOUT,S0011,ENGULFING,SIDEWAYS,90,0,130,35,0.269231,0.200417,0.351291,0.008162,-0.137771
