symbol,name,primary_group,secondary_groups,industry_source,concept_source,mapping_confidence,mapping_reason,excluded_noise_tags,evidence_ids,business_group_raw,market_theme_id,market_lane,business_industry_fallback,mapping_source_rank,mapping_source_detail,mapping_asof,mapping_attempts,mapping_status
301373,凌玮科技,其他化学制品,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,其他化学制品,,unclassified,其他化学制品,cninfo_industry,申银万国行业分类标准(旧)|2021-07-09,2021-07-09,cninfo:ok,resolved_theme_unmatched
301626,苏州天脉,汽车零部件/整车,,,Sina concept constituents 2026-07-31 snapshot,medium,ths_business_keyword_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,汽车零部件/整车,,unclassified,汽车零部件/整车,ths_business_keyword,热管理材料及器件的研发、生产及销售。,2026-07-31,cninfo:error;ths_zyjs:ok,resolved_theme_unmatched
600025,华能水电,水电,,,Sina concept constituents 2026-07-31 snapshot,medium,cninfo_industry_theme_unmatched,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,水电,,unclassified,水电,cninfo_industry,申银万国行业分类标准(旧)|2017-11-06,2017-11-06,cninfo:ok,resolved_theme_unmatched
600176,中国巨石,玻璃行业,出口退税,玻璃行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,社保重仓,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600179,安通控股,煤炭行业,海南自贸;摘帽概念,煤炭行业,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600201,生物股份,生物制药,甲型流感;生物疫苗,生物制药,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600267,海正药业,生物制药,保险重仓;超级细菌;出口退税;创新药;仿制药;基金重仓;抗癌;免疫治疗;生物疫苗,生物制药,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券;社保重仓,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600312,平高电气,发电设备,智能电网,发电设备,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,融资融券,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600350,山东高速,公路桥梁,参股金融;东亚自贸;金融参股;污水处理;自贸区,公路桥梁,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
600351,亚宝药业,生物制药,创新药;民营银行;生物疫苗;婴童概念,生物制药,Sina concept constituents 2026-07-31 snapshot,medium,sina_industry_primary,,LOCAL-SINA-INDUSTRY-20260731;LOCAL-SINA-CONCEPT-20260731;CNINFO-INDUSTRY-FALLBACK;THS-ZYJS-FALLBACK;PHASE-A-MARKET-STATE,,,unclassified,,sina_industry,sina_industry_primary,2026-07-31,existing_snapshot,resolved_theme_unmatched
