scope,model_code,trigger,market_regime,horizon_sessions,signal_count,entry_executable_count,censored_or_blocked_count,sample_count,win_count,win_rate,win_rate_ci_low,win_rate_ci_high,mean_net_return,median_net_return
HOLDOUT,S0001,STRONG_FRACTAL,UP,90,900,895,29,871,378,0.433984,0.40143,0.467117,0.041205,-0.033992
HOLDOUT,S0001,STRONG_FRACTAL,DOWN,30,129,127,2,127,99,0.779528,0.699814,0.842828,0.211953,0.20438
HOLDOUT,S0001,STRONG_FRACTAL,DOWN,60,129,127,2,127,114,0.897638,0.832728,0.939198,0.294518,0.26496
HOLDOUT,S0001,STRONG_FRACTAL,DOWN,90,129,127,2,127,115,0.905512,0.842091,0.945121,0.252506,0.191583
HOLDOUT,S0001,STRONG_FRACTAL,SIDEWAYS,30,1176,1171,92,1084,605,0.558118,0.528401,0.587424,0.029738,0.016919
HOLDOUT,S0001,STRONG_FRACTAL,SIDEWAYS,60,1176,1171,180,996,575,0.577309,0.546391,0.607633,0.070622,0.035396
HOLDOUT,S0001,STRONG_FRACTAL,SIDEWAYS,90,1176,1171,235,941,644,0.684378,0.653985,0.713273,0.139376,0.086745
HOLDOUT,S0002,ENGULFING,UP,30,2578,2572,6,2572,1104,0.429238,0.410229,0.448458,0.005278,-0.023807
HOLDOUT,S0002,ENGULFING,UP,60,2578,2572,6,2572,1066,0.414463,0.395566,0.433616,0.011799,-0.031366
HOLDOUT,S0002,ENGULFING,UP,90,2578,2572,48,2530,1108,0.437945,0.418721,0.457357,0.03091,-0.029893
HOLDOUT,S0002,ENGULFING,DOWN,30,590,589,1,589,477,0.809847,0.776187,0.839492,0.223982,0.196258
HOLDOUT,S0002,ENGULFING,DOWN,60,590,589,1,589,552,0.937182,0.914613,0.954085,0.372706,0.29642
HOLDOUT,S0002,ENGULFING,DOWN,90,590,589,1,589,536,0.910017,0.884173,0.930548,0.337009,0.254786
HOLDOUT,S0002,ENGULFING,SIDEWAYS,30,4875,4861,332,4543,2290,0.504072,0.489536,0.518602,0.019079,0.001816
HOLDOUT,S0002,ENGULFING,SIDEWAYS,60,4875,4861,573,4302,2312,0.537424,0.522498,0.552284,0.052058,0.015785
HOLDOUT,S0002,ENGULFING,SIDEWAYS,90,4875,4861,877,3998,2276,0.569285,0.553876,0.58456,0.091771,0.039517
HOLDOUT,S0002,STRONG_FRACTAL,UP,30,2475,2456,19,2456,996,0.405537,0.386281,0.425089,0.000731,-0.029689
HOLDOUT,S0002,STRONG_FRACTAL,UP,60,2475,2456,19,2456,986,0.401466,0.382248,0.420992,0.014119,-0.034706
HOLDOUT,S0002,STRONG_FRACTAL,UP,90,2475,2456,77,2398,1028,0.428691,0.409013,0.448597,0.025746,-0.033542
HOLDOUT,S0002,STRONG_FRACTAL,DOWN,30,745,739,6,739,535,0.723951,0.690625,0.754962,0.191525,0.141061
HOLDOUT,S0002,STRONG_FRACTAL,DOWN,60,745,739,6,739,691,0.935047,0.914933,0.950662,0.326628,0.255712
HOLDOUT,S0002,STRONG_FRACTAL,DOWN,90,745,739,6,739,664,0.898512,0.874638,0.918264,0.297825,0.228861
HOLDOUT,S0002,STRONG_FRACTAL,SIDEWAYS,30,5094,5052,417,4677,2411,0.515501,0.501172,0.529806,0.024922,0.005857
HOLDOUT,S0002,STRONG_FRACTAL,SIDEWAYS,60,5094,5052,724,4370,2233,0.510984,0.49616,0.525789,0.051009,0.005171
HOLDOUT,S0002,STRONG_FRACTAL,SIDEWAYS,90,5094,5052,1248,3846,2279,0.592564,0.57695,0.607993,0.117619,0.050467
HOLDOUT,S0003,ENGULFING,UP,30,40,40,0,40,21,0.525,0.374974,0.670645,0.05735,0.02852
HOLDOUT,S0003,ENGULFING,UP,60,40,40,0,40,19,0.475,0.329355,0.625026,0.025905,-0.031725
HOLDOUT,S0003,ENGULFING,UP,90,40,40,0,40,24,0.6,0.445959,0.736517,0.090743,0.040337
HOLDOUT,S0003,ENGULFING,DOWN,30,11,11,0,11,8,0.727273,0.434355,0.902539,0.218727,0.087072
HOLDOUT,S0003,ENGULFING,DOWN,60,11,11,0,11,10,0.909091,0.622642,0.983768,0.316221,0.25003
HOLDOUT,S0003,ENGULFING,DOWN,90,11,11,0,11,10,0.909091,0.622642,0.983768,0.245195,0.128917
HOLDOUT,S0003,ENGULFING,SIDEWAYS,30,48,48,0,48,26,0.541667,0.402911,0.674248,0.058465,0.038778
HOLDOUT,S0003,ENGULFING,SIDEWAYS,60,48,48,3,45,25,0.555556,0.411761,0.690611,0.085847,0.055036
HOLDOUT,S0003,ENGULFING,SIDEWAYS,90,48,48,6,42,30,0.714286,0.564328,0.82833,0.142348,0.069631
HOLDOUT,S0003,STRONG_FRACTAL,UP,30,177,174,3,174,62,0.356322,0.288971,0.42988,-0.008236,-0.041032
HOLDOUT,S0003,STRONG_FRACTAL,UP,60,177,174,3,174,73,0.41954,0.34873,0.493827,0.008558,-0.021263
HOLDOUT,S0003,STRONG_FRACTAL,UP,90,177,174,4,173,86,0.49711,0.423481,0.570864,0.043094,-0.002878
HOLDOUT,S0003,STRONG_FRACTAL,DOWN,30,44,44,0,44,39,0.886364,0.760208,0.950472,0.213901,0.175476
HOLDOUT,S0003,STRONG_FRACTAL,DOWN,60,44,44,0,44,43,0.977273,0.881923,0.995977,0.366531,0.358806
HOLDOUT,S0003,STRONG_FRACTAL,DOWN,90,44,44,0,44,40,0.909091,0.788408,0.964078,0.276136,0.264746
HOLDOUT,S0003,STRONG_FRACTAL,SIDEWAYS,30,250,248,14,236,108,0.457627,0.395251,0.52136,0.01644,-0.010694
HOLDOUT,S0003,STRONG_FRACTAL,SIDEWAYS,60,250,248,41,209,108,0.516746,0.449309,0.583579,0.043709,0.012695
